Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Store_Age
0,0,140.3154,2552.6772,14,0.041177505,11.6,2,1,1,1,13
0,1213,227.0694,1141.847,13,0.040081193,11.65,3,2,1,2,11
0,1317,47.5034,680.4476,9,0.035307322,13.0,2,1,1,1,13
0,91,159.0578,2085.9514,14,0.063017847,12.65,7,1,1,1,18
1,200,92.512,186.424,3,0.171938781,20.25,0,2,1,0,22
1,528,190.153,3036.048,3,0.040197932,8.6,6,1,2,1,16
0,1075,62.7194,866.8716,1,0.049058014000000004,12.6,2,1,1,1,13
0,605,95.041,868.8689999999999,5,0.01161096,17.7,6,1,2,1,16
0,86,82.4276,1137.1864,14,0.183507295,14.15,8,0,2,1,23
0,1048,52.7956,928.1252,4,0.102349519,19.25,2,1,1,1,13
0,55,151.7682,762.341,7,0.08670898699999999,8.88,1,2,0,1,33
0,1444,40.2822,707.0796,9,0.032835147,20.5,7,1,1,1,18
0,1186,180.5976,7968.2944,3,0.033809913,12.792854228644991,5,2,1,3,35
0,1340,160.292,1438.128,9,0.07266912,13.5,8,0,2,1,23
0,1476,224.4404,6976.2524,8,0.144338493,12.792854228644991,5,2,1,3,35
0,910,101.7016,101.2016,5,0.009163216,8.89,0,2,1,0,22
0,394,188.5188,952.0939999999999,3,0.011307038,7.855,3,2,1,2,11
0,1428,116.0492,1969.4364,9,0.076855628,7.235,8,0,2,1,23
0,453,165.4526,5262.4832,15,0.059956876,12.792854228644991,5,2,1,3,35
0,228,60.5852,1314.2892,4,0.038532062,6.92,7,1,1,1,18
0,1152,90.8172,535.3032,6,0.043209581,9.3,2,1,1,1,13
0,1407,132.1284,263.6568,11,0.056816465,18.5,0,2,1,0,22
0,1289,154.5972,1402.1748,9,0.019866705,8.02,6,1,2,1,16
0,1538,105.1622,1693.7952,9,0.048331717,9.195,2,1,1,1,13
0,1436,105.5938,2143.876,11,0.091221855,12.8,7,1,1,1,18
0,1288,177.6344,2676.5159999999996,9,0.027622076000000002,16.6,9,0,1,1,21
1,479,53.06399999999999,905.488,5,0.0,14.0,6,1,2,1,16
0,743,246.3802,7370.406,5,0.039355947,18.6,9,0,1,1,21
0,198,226.8404,6301.1312,15,0.060836524,16.0,6,1,2,1,16
0,1274,160.692,1597.92,8,0.082316506,17.6,6,1,2,1,16
0,179,178.237,529.311,13,0.155350299,21.25,6,1,2,1,16
0,1428,117.5492,1969.4364,9,0.076841095,7.235,6,1,2,1,16
0,94,50.3692,1034.6532,14,0.151419185,14.6,2,1,1,1,13
1,843,161.52100000000002,1794.3310000000001,5,0.026001976,13.85,3,2,1,2,11
1,470,197.6426,2768.3964,5,0.073209447,13.65,3,2,1,2,11
0,104,31.29,898.83,14,0.041683481,12.792854228644991,5,2,1,3,35
0,1132,226.172,3169.208,6,0.042560252,7.365,8,0,2,1,23
0,1344,223.5746,3589.9936,9,0.014081156000000001,18.35,3,2,1,2,11
1,216,132.5626,262.3252,0,0.0,5.465,3,2,1,2,11
0,661,99.8358,1910.1802,2,0.152918384,18.6,2,1,1,1,13
0,20,140.9154,1701.7848,14,0.030969273999999998,13.85,2,1,1,1,13
1,797,154.5656,2471.4496,5,0.06037677599999999,14.0,1,2,0,1,33
1,631,54.763999999999996,1331.6,13,0.04192285,14.0,1,2,0,1,33
0,824,97.0094,1808.9786,6,0.077367431,12.792854228644991,5,2,1,3,35
0,1037,222.5456,3315.684,3,0.045838211,5.905,3,2,1,2,11
0,47,114.2518,2618.5914,14,0.071077939,7.27,8,0,2,1,23
1,1109,214.55599999999998,2769.728,10,0.09465987099999999,6.155,8,0,2,1,23
1,113,233.4958,5375.0034,14,0.077608838,19.5,2,1,1,1,13
0,750,216.8824,2838.9712,3,0.021327477,15.2,2,1,1,1,13
1,611,125.0046,1743.0644,3,0.042485444000000004,12.15,3,2,1,2,11
0,1278,198.8084,5555.4352,9,0.025578526,12.792854228644991,5,2,1,3,35
0,1075,61.9194,619.194,1,0.048980800000000005,12.6,3,2,1,2,11
0,1401,164.821,2120.573,11,0.019471688,14.5,6,1,2,1,16
0,568,173.0738,3823.0236,6,0.122918852,16.6,2,1,1,1,13
1,627,151.4366,1360.2294,10,0.057373797000000004,11.8,1,2,0,1,33
1,892,178.8318,3969.4996,6,0.044155597000000005,13.1,1,2,0,1,33
0,488,115.1834,345.5502,6,0.291865402,17.7,0,2,1,0,22
0,857,196.5794,585.2382,1,0.0,17.85,0,2,1,0,22
1,215,92.6804,1010.6844,15,0.064750025,12.3,7,1,1,1,18
0,1499,81.4618,161.1236,8,0.098312421,11.8,0,2,1,0,22
1,142,42.1112,42.6112,14,0.191013663,12.792854228644991,4,0,2,0,35
0,707,157.4604,3010.7476,0,0.176573035,11.1,7,1,1,1,18
1,797,153.0656,6024.1584,5,0.060134441,12.792854228644991,5,2,1,3,35
0,1049,198.1426,988.7130000000001,10,0.0072946519999999996,11.3,7,1,1,1,18
0,1426,117.944,239.688,8,0.128478462,12.792854228644991,4,0,2,0,35
1,1008,112.8176,1374.2112,4,0.075107656,5.75,1,2,0,1,33
1,926,226.8062,4739.8302,0,0.049381405999999996,12.792854228644991,5,2,1,3,35
1,578,100.0016,1012.0160000000001,13,0.045165795999999994,11.35,3,2,1,2,11
1,694,165.7526,657.8104,6,0.09415375,12.792854228644991,4,0,2,0,35
0,1523,130.431,778.9860000000001,8,0.028907832,14.0,9,0,1,1,21
1,319,179.766,2336.958,5,0.018059621,19.75,7,1,1,1,18
0,1277,85.0882,2233.0932,9,0.09043609400000001,6.525,9,0,1,1,21
0,1029,103.9648,1661.8368,10,0.146399712,10.3,9,0,1,1,21
1,616,264.7568,4745.8224,13,0.07426435599999999,5.78,9,0,1,1,21
1,150,164.1526,3124.5994,6,0.050186725999999994,11.85,7,1,1,1,18
0,951,50.1324,467.3916,6,0.020631654,16.35,3,2,1,2,11
0,1530,182.5976,5070.7328,9,0.01561108,12.792854228644991,5,2,1,3,35
0,932,37.6164,540.6296,6,0.041395445,10.5,8,0,2,1,23
1,221,48.0718,992.7078,5,0.097313129,19.0,8,0,2,1,23
0,1420,238.8538,6008.845,11,0.059582996,14.6,9,0,1,1,21
1,343,62.9194,2105.2596,4,0.09866365199999999,12.792854228644991,5,2,1,3,35
1,1157,232.63,5359.69,3,0.101338651,12.792854228644991,5,2,1,3,35
0,1402,104.62799999999999,745.696,8,0.052146455999999994,18.75,7,1,1,1,18
1,340,161.8868,3275.736,0,0.041764487,5.26,6,1,2,1,16
0,688,140.2154,1701.7848,13,0.054344185999999996,18.25,7,1,1,1,18
0,484,177.937,6704.606,0,0.07836248400000001,12.792854228644991,5,2,1,3,35
0,480,242.7512,4119.9704,10,0.052339069,15.1,8,0,2,1,23
1,371,81.5934,327.5736,0,0.042464962,15.5,0,2,1,0,22
0,424,45.7402,780.9834,5,0.06573288299999999,13.65,9,0,1,1,21
0,44,189.3846,3630.6074,14,0.023625114,16.1,7,1,1,1,18
1,903,107.3622,317.5866,13,0.051643608,12.792854228644991,4,0,2,0,35
0,1150,39.7164,231.6984,5,0.165694219,12.85,0,2,1,0,22
0,104,32.99,133.16,14,0.041878397000000005,9.5,6,1,2,1,16
0,13,245.1802,5650.6446,4,0.058091482,13.8,6,1,2,1,16
1,616,263.7568,2636.5679999999998,13,0.0,5.78,2,1,1,1,13
0,1298,96.0726,1272.3438,9,0.026903714,19.7,7,1,1,1,18
0,1558,161.5552,324.9104,9,0.0,14.65,0,2,1,0,22
1,323,130.0626,131.1626,13,0.150554711,6.67,0,2,1,0,22
1,854,131.2968,260.9936,6,0.0,6.11,0,2,1,0,22
1,753,260.0936,260.9936,5,0.13497562800000001,13.65,0,2,1,0,22
0,1129,160.6578,3690.5294,10,0.15616879,17.2,1,2,0,1,33
0,175,40.2822,1139.1838,10,0.0,6.32,6,1,2,1,16
1,1185,52.9298,1995.4026,0,0.133700752,4.88,9,0,1,1,21
1,277,88.3514,1416.8224,0,0.115119905,5.425,2,1,1,1,13
1,448,37.2506,265.6542,5,0.11003099699999999,15.85,8,0,2,1,23
0,937,121.7072,3552.7088,3,0.051038045,7.5,2,1,1,1,13
0,91,161.5578,2406.867,14,0.062837968,12.65,1,2,0,1,33
0,1424,211.956,213.05599999999998,11,0.017116983,12.792854228644991,4,0,2,0,35
0,1082,124.17299999999999,2956.152,6,0.024129332000000003,20.75,1,2,0,1,33
0,43,152.134,153.134,4,0.049754975,12.792854228644991,4,0,2,0,35
0,907,79.7644,1649.8524,3,0.0,9.0,6,1,2,1,16
0,1137,181.9292,3101.2964,3,0.101561568,12.792854228644991,5,2,1,3,35
0,1536,165.6526,4769.1254,9,0.0059496440000000005,12.792854228644991,5,2,1,3,35
1,413,170.4764,3435.528,12,0.13956116,12.792854228644991,5,2,1,3,35
0,614,86.4198,1133.8574,6,0.126035694,14.1,7,1,1,1,18
0,365,152.334,2603.278,3,0.027164679,7.55,6,1,2,1,16
0,1294,45.406000000000006,605.878,9,0.099325278,13.0,8,0,2,1,23
0,126,192.8846,2293.0152,7,0.04357366,12.792854228644991,5,2,1,3,35
1,904,118.7782,119.1782,13,0.082741482,12.792854228644991,4,0,2,0,35
1,215,92.9804,1929.4884,15,0.064565202,12.3,1,2,0,1,33
0,1133,109.8912,2074.6328,13,0.08455456900000001,12.792854228644991,5,2,1,3,35
0,1499,79.9618,241.6854,8,0.058451805,12.792854228644991,5,2,1,3,35
0,1472,251.3724,6795.1548,9,0.113748685,17.25,7,1,1,1,18
0,1469,42.7112,639.168,9,0.020603511,15.85,2,1,1,1,13
0,1505,192.1846,3248.4382,8,0.052044976,18.85,6,1,2,1,16
1,1211,227.6062,7222.5984,6,0.06276442900000001,16.35,2,1,1,1,13
0,100,229.0668,3225.1352,4,0.08797726199999999,14.1,6,1,2,1,16
0,553,249.0408,3755.112,13,0.010010425,7.905,6,1,2,1,16
0,1186,179.3976,3440.8544,3,0.033946163,12.0,1,2,0,1,33
1,1002,163.4552,974.7312,6,0.058414678,12.15,6,1,2,1,16
0,606,75.367,535.969,10,0.027106459,10.1,9,0,1,1,21
0,359,262.491,5259.82,5,0.027022882999999998,17.5,2,1,1,1,13
0,40,152.034,306.268,4,0.058153409,12.792854228644991,4,0,2,0,35
0,591,112.3886,1779.0176,6,0.128937661,17.1,3,2,1,2,11
0,1042,61.451,759.012,6,0.088846306,7.785,9,0,1,1,21
1,526,125.9704,1877.556,13,0.09357779,11.8,1,2,0,1,33
1,397,171.8764,3779.0808,6,0.165694678,13.15,7,1,1,1,18
0,777,41.5796,41.2796,5,0.148392623,12.792854228644991,4,0,2,0,35
0,1077,51.1324,259.66200000000003,3,0.098438394,8.5,2,1,1,1,13
0,1343,96.34100000000001,193.082,8,0.143303291,8.645,1,2,0,1,33
1,1169,110.9202,1687.8029999999999,10,0.076276208,17.6,7,1,1,1,18
0,877,127.5362,4655.9394,0,0.175103435,9.1,2,1,1,1,13
1,538,225.9404,4950.8888,10,0.023511371,12.8,1,2,0,1,33
0,102,95.4436,1418.154,14,0.06105276,7.63,6,1,2,1,16
1,409,246.4144,1225.072,5,0.049559042000000005,9.285,2,1,1,1,13
1,1197,231.03,5359.69,4,0.119418124,13.6,7,1,1,1,18
0,653,176.237,1764.37,2,0.072545601,8.895,7,1,1,1,18
0,1477,195.21099999999998,2553.343,9,0.090486828,16.35,1,2,0,1,33
0,410,43.3454,1006.6896,5,0.056245075,17.6,1,2,0,1,33
0,407,85.225,1081.925,0,0.014618973,7.975,1,2,0,1,33
0,429,36.7164,308.9312,15,0.04347912599999999,15.85,2,1,1,1,13
0,635,178.666,2516.724,5,0.045166237000000005,15.7,1,2,0,1,33
1,1070,128.83100000000002,1428.141,5,0.057827101,8.985,8,0,2,1,23
0,889,260.1594,2093.2752,4,0.089394766,20.35,1,2,0,1,33
0,815,85.6908,1929.4884,6,0.10550944,6.59,1,2,0,1,33
0,573,264.0884,5829.7448,4,0.005234153,19.85,6,1,2,1,16
0,593,91.4488,2082.6224,13,0.036390174,16.85,8,0,2,1,23
0,441,173.1738,7298.4996,10,0.03292824,12.792854228644991,5,2,1,3,35
0,1210,256.4988,7452.9652,6,0.081252534,16.75,1,2,0,1,33
1,1169,110.5202,450.0808,10,0.076552407,17.6,2,1,1,1,13
0,553,250.4408,500.6816,13,0.016758568999999997,7.905,0,2,1,0,22
0,1223,126.20200000000001,3668.558,13,0.044248175,12.792854228644991,5,2,1,3,35
1,1239,103.1964,736.3748,6,0.038288087,7.785,3,2,1,2,11
0,1552,253.0698,6088.0752,9,0.186032678,7.825,6,1,2,1,16
0,1315,101.0016,2125.2336,9,0.031867464,12.792854228644991,5,2,1,3,35
0,35,153.0024,2277.036,14,0.021370201000000002,20.75,2,1,1,1,13
0,511,190.3846,573.2538,6,0.193772568,12.792854228644991,4,0,2,0,35
1,949,151.1366,2267.049,10,0.009866049,6.26,6,1,2,1,16
0,321,147.3734,296.9468,6,0.082551042,18.2,0,2,1,0,22
0,1294,46.306000000000004,559.2719999999999,9,0.099729888,13.0,3,2,1,2,11
1,232,222.1772,5559.43,6,0.018801549,20.25,6,1,2,1,16
0,1498,95.5094,1237.7222,9,0.11972145099999999,8.695,9,0,1,1,21
0,47,113.5518,569.259,14,0.071222087,7.27,7,1,1,1,18
1,633,174.0712,3866.9664,2,0.060371962,12.792854228644991,5,2,1,3,35
0,368,198.4768,1379.5376,6,0.033287541000000004,12.85,7,1,1,1,18
0,447,142.7128,1869.5664,4,0.05858462,7.075,3,2,1,2,11
1,1066,196.21099999999998,5499.508000000001,0,0.11679292,12.792854228644991,5,2,1,3,35
0,1214,94.3462,925.462,0,0.031452265,8.195,9,0,1,1,21
0,563,47.9034,583.2408,0,0.00721395,7.09,6,1,2,1,16
0,1398,141.4154,1418.154,11,0.081196619,6.095,8,0,2,1,23
1,337,80.2644,942.7728,6,0.049916364000000005,19.35,2,1,1,1,13
0,996,99.3384,2364.9216,0,0.04627095,6.15,8,0,2,1,23
1,1027,87.9856,3251.7672,3,0.02747716,12.792854228644991,5,2,1,3,35
1,1032,125.2678,254.3356,6,0.10470453699999999,12.792854228644991,4,0,2,0,35
0,1465,167.0474,5895.659000000001,9,0.012540003000000001,17.7,6,1,2,1,16
0,706,93.7436,1134.5232,1,0.147023834,17.85,3,2,1,2,11
0,36,224.972,7696.648,14,0.15965759599999998,9.395,7,1,1,1,18
0,140,250.5382,2775.7202,7,0.141398626,15.75,2,1,1,1,13
0,205,241.2854,5317.0788,6,0.148821808,7.475,7,1,1,1,18
0,823,98.0068,874.8612,5,0.0,7.075,3,2,1,2,11
0,1135,92.6436,1039.9796,0,0.029691762000000003,6.445,8,0,2,1,23
0,1131,235.0958,3038.0454,6,0.09671552300000001,19.1,6,1,2,1,16
1,303,193.6162,3848.324,4,0.014790558999999998,20.25,6,1,2,1,16
1,145,59.1904,527.3136,3,0.054378253,15.0,8,0,2,1,23
1,894,89.1514,2390.8878,13,0.123428594,6.67,8,0,2,1,23
1,646,60.222,1677.816,3,0.029943462999999997,12.792854228644991,5,2,1,3,35
1,211,112.7176,801.6232,5,0.052368060999999994,16.7,1,2,0,1,33
0,385,115.5834,1267.0174,13,0.09386114400000001,7.07,7,1,1,1,18
0,169,148.0076,886.8456,13,0.033968647000000005,6.48,7,1,1,1,18
1,240,228.27200000000002,452.744,6,0.173154079,19.0,0,2,1,0,22
0,230,147.5392,3877.6192,5,0.139735226,13.35,7,1,1,1,18
0,1190,146.6418,4414.254,6,0.043351895999999994,12.792854228644991,5,2,1,3,35
0,141,122.4388,5448.9072,7,0.042086652,12.792854228644991,5,2,1,3,35
1,1146,223.9404,4950.8888,0,0.12848269,9.695,9,0,1,1,21
0,18,62.6168,958.752,14,0.049357077,15.0,2,1,1,1,13
1,271,149.9708,1956.1204,4,0.008326735,11.15,2,1,1,1,13
0,223,103.2306,2404.2038,6,0.021362955,20.85,9,0,1,1,21
0,1368,194.3478,387.4956,11,0.151420934,9.8,0,2,1,0,22
0,1059,165.0842,994.7052,10,0.032511818,16.35,1,2,0,1,33
1,1242,101.29899999999999,1754.3829999999998,1,0.022323658,9.6,7,1,1,1,18
0,1521,129.9994,3340.9844,8,0.019292355,12.792854228644991,5,2,1,3,35
0,1065,216.7166,3918.8988,1,0.048124442999999996,13.35,7,1,1,1,18
0,73,76.367,306.268,4,0.09261307,20.7,1,2,0,1,33
0,690,158.4604,4278.4308,0,0.094697274,12.792854228644991,5,2,1,3,35
0,1011,260.6278,4425.5726,6,0.035984103999999996,16.2,7,1,1,1,18
1,689,230.9984,9267.936,13,0.056596985,12.792854228644991,5,2,1,3,35
0,263,76.867,229.701,5,0.2047,12.792854228644991,4,0,2,0,35
1,691,129.3994,2055.9904,2,0.020618324,12.792854228644991,5,2,1,3,35
0,1433,101.3016,3339.6528,11,0.04709821,5.5,8,0,2,1,23
1,778,221.7456,6410.3224,6,0.087584126,15.1,7,1,1,1,18
1,373,122.9046,1992.0736,5,0.038078899,15.7,2,1,1,1,13
1,617,104.4332,2870.9296,2,0.095102092,7.895,2,1,1,1,13
1,1206,164.5184,2807.0128,3,0.011953901999999999,12.792854228644991,5,2,1,3,35
1,839,88.18299999999999,539.298,0,0.062799379,17.35,1,2,0,1,33
0,1542,174.3054,4377.635,9,0.031125708999999998,7.285,1,2,0,1,33
0,1544,180.9976,2716.4640000000004,9,0.026005891,20.25,7,1,1,1,18
0,520,190.9504,383.5008,13,0.09246392,12.792854228644991,4,0,2,0,35
0,83,59.5904,703.0848,14,0.107765165,15.85,9,0,1,1,21
0,597,66.3826,1937.4779999999998,10,0.010647476999999999,6.17,9,0,1,1,21
0,1430,182.2608,3307.6944,9,0.015749341,19.5,9,0,1,1,21
0,1275,197.611,3142.5759999999996,9,0.077628053,19.2,9,0,1,1,21
0,1137,181.2292,2554.0088,3,0.0,16.7,3,2,1,2,11
1,773,104.0648,1869.5664,1,0.056695731,20.85,3,2,1,2,11
1,866,260.4594,5494.8474,1,0.063993068,14.5,7,1,1,1,18
1,939,233.1616,6093.4016,10,0.06952926200000001,11.395,1,2,0,1,33
0,77,174.0422,2586.633,14,0.034452949,7.97,8,0,2,1,23
1,973,55.2956,1255.6988,13,0.06670068,7.71,9,0,1,1,21
1,446,141.7496,4093.3384,3,0.034699737,19.25,8,0,2,1,23
0,447,142.2128,3163.8816,4,0.058346939,7.075,8,0,2,1,23
1,677,166.0816,5033.448,10,0.065203103,12.792854228644991,5,2,1,3,35
1,455,79.9276,1137.1864,5,0.07892957099999999,11.6,8,0,2,1,23
